latitude,longitude,temperature,humidity,cloudiness
4.14,96.13,82.26,80,100
37.34,-121.89,48.25,81,90
59.7,30.79,37.44,87,90
71.69,128.87,-27.35,92,0
-23.12,-134.97,77.47,79,81
5.35,48.53,77.67,77,7
71.92,114.08,-31.83,90,26
-26.65,15.16,69.8,77,2
53.0,31.6,33.8,80,90
78.22,15.64,21.2,67,20
52.96,4.76,42.31,87,29
65.58,-171.0,5.81,95,100
54.32,-130.32,37.4,93,90
65.61,-37.64,15.8,47,0
30.58,-111.1,67.71,41,100
22.89,-109.91,76.17,60,20
57.14,-2.1,41.94,86,17
-54.8,-68.3,51.8,71,40
-41.87,-73.82,75.2,41,0
-5.25,14.87,72.52,92,97
-38.27,141.97,57.85,73,60
-46.13,167.68,55.99,96,95
-33.65,115.33,60.53,52,21
50.63,-96.99,0.09,90,0
-34.53,20.04,64.63,88,99
21.2,83.58,67.06,56,17
18.9,-3.53,69.42,17,0
73.51,80.55,-26.91,96,21
-21.2,-175.2,75.2,78,20
30.48,-115.95,62.04,64,49
62.46,-114.35,-13.0,75,20
-42.78,147.06,54.99,71,90
-33.59,26.89,63.0,87,94
5.41,100.34,83.34,66,20
28.66,-17.92,62.4,59,75
32.67,-17.1,58.44,55,40
64.89,-23.71,33.06,71,100
42.1,-79.24,19.83,57,1
71.29,-156.79,-0.4,84,90
37.47,-4.44,47.16,50,63
-33.7,-53.46,87.85,45,0
69.22,-51.1,8.6,46,75
40.6,-124.16,50.58,71,1
-33.02,27.91,64.4,88,75
42.6,-73.97,18.57,48,5
-0.74,-90.35,81.73,74,40
14.9,-24.5,72.54,71,0
-34.42,19.23,67.73,91,18
65.28,-126.83,-18.4,75,20
3.46,8.55,86.0,70,40
4.88,-1.76,82.92,68,87
-34.0,24.73,64.18,81,96
-46.19,168.86,55.99,96,94
39.05,-27.98,60.91,82,98
50.63,38.69,28.9,94,100
-24.79,-50.01,82.38,43,36
-33.93,18.42,70.09,64,20
61.99,5.14,48.09,93,75
22.08,-159.32,69.98,73,90
13.07,-59.53,84.2,66,75
-13.7,-76.22,72.19,30,75
64.38,-173.3,3.94,92,100
-33.92,25.57,68.0,77,97
-16.48,-151.75,81.07,76,100
67.8,130.41,-17.34,99,99
-53.15,-70.92,59.09,55,75
35.13,140.3,39.76,65,20
58.57,5.7,45.03,93,75
-31.95,141.43,60.8,67,6
-10.17,123.58,80.6,94,75
-20.33,-40.29,78.35,69,90
71.97,102.5,-32.71,99,0
23.15,-81.25,77.0,78,75
37.68,-113.06,34.29,69,1
-17.73,-149.15,82.24,74,40
-2.0,-49.85,83.43,83,53
19.73,-155.09,67.03,82,40
-20.41,57.7,80.76,83,40
5.38,-52.95,79.84,75,25
37.1,-113.58,45.03,52,1
22.29,114.16,62.83,77,20
63.08,27.67,37.4,86,90
20.82,71.03,63.57,48,0
-46.6,168.33,55.99,96,77
-6.47,16.82,71.69,92,99
67.45,153.68,-27.49,96,100
29.11,21.29,57.99,51,0
34.64,-120.46,55.2,82,90
37.46,-122.43,48.38,76,90
42.9,133.91,11.98,69,72
41.37,-73.41,26.51,32,1
69.38,178.42,-4.79,96,100
-8.14,159.59,79.36,79,9
63.29,18.72,44.11,86,100
-24.87,113.63,73.4,83,0
-23.7,133.88,78.8,26,2
-8.16,-70.77,82.35,69,98
-2.68,111.62,73.63,97,100
52.06,1.16,36.41,93,3
3.07,172.79,84.52,69,100
64.57,143.2,-45.38,100,97
42.43,68.8,30.2,100,90
48.68,71.64,6.67,96,80
41.28,-70.1,26.04,63,75
-0.61,-47.36,82.04,78,55
36.37,30.29,39.58,52,0
20.5,-10.07,67.08,16,0
-5.67,132.75,83.52,79,73
53.58,-116.44,15.8,85,75
-33.87,121.9,62.6,67,8
-11.37,38.42,77.88,93,99
-21.21,-159.78,80.6,88,100
60.14,-45.24,26.1,92,100
-14.66,17.69,68.31,87,91
43.27,-7.54,43.3,80,75
39.09,17.12,51.8,76,40
54.3,59.45,14.36,88,67
38.52,-28.7,62.6,77,40
57.05,-135.33,37.4,80,90
-0.6,73.08,84.04,77,88
32.33,-117.03,57.72,76,75
-2.57,150.8,83.16,79,45
27.93,84.42,48.4,72,11
-42.88,147.33,55.09,71,90
29.97,40.21,55.4,44,40
53.8,64.15,16.0,97,90
50.86,0.57,35.35,93,0
63.05,179.32,-6.54,99,68
61.99,-49.67,22.44,87,100
66.04,-17.34,33.8,59,90
-9.8,-139.03,80.24,73,66
46.01,40.46,34.0,61,0
35.17,-2.93,49.15,76,20
13.32,12.61,70.5,21,0
-34.76,-56.39,86.67,49,75
10.57,72.64,82.31,74,85
31.67,38.66,48.2,81,75
44.37,-100.35,8.76,65,1
4.12,15.14,79.59,28,81
-22.12,14.28,68.0,84,0
52.17,14.25,36.0,92,2
-2.67,141.3,82.31,79,45
5.89,95.32,83.35,77,87
61.95,159.23,-20.85,70,0
33.34,44.4,51.8,62,4
57.33,-2.32,42.08,86,19
-10.95,39.1,77.13,94,100
50.6,97.52,-12.62,91,68
2.89,-72.13,86.95,62,50
36.74,-88.64,22.82,73,90
-35.3,148.22,54.99,91,73
67.54,133.38,-23.1,99,96
4.65,22.26,78.96,24,33
-42.77,-65.04,85.44,14,0
